"PI","grid","Community_type","Latitude","Longitude","Adjusted_latitude","Elevation","ydiv","STA_avg_EVI","STA_max_EVI","phe_var_based_EVI","MAT","MAP","MAT_scale","MAP_scale"
"Naseri",97,"temp.grass",37.639587,58.497985,55.8197671801802,2018,3.091042453,2.308321693,2.168806237,-0.291409043,12.9327272727273,160.121818181818,0.519652461010636,-1.46318646705342
"Naseri",98,"temp.grass",37.638747,58.49462,56.3234316846847,2074,3.091042453,2.328946744,1.955297768,-0.362447476,12.9327272727273,160.121818181818,0.519652461010636,-1.46318646705342
"Overbeck",99,"trop.grass",-30.100867,-51.680867,30.4612273603604,40,4.672828834,2.721431396,2.649967614,-0.894622822,19.1036363636364,1399.85818181818,1.43356363681838,2.76189354756788
"Overbeck",100,"trop.grass",-30.10125,-51.683633,30.3985472972973,33,4.521788577,3.026161229,3.018567243,-1.148411894,19.1036363636364,1399.85818181818,1.43356363681838,2.76189354756788
"Pither",101,"alpine.grass",49.358435,-119.917191,68.340416981982,2107,3.555348061,2.476157455,2.336227158,0.113155026,3.83636363636364,407.493636363636,-0.827518314642316,-0.620131640368431
"Pither",102,"alpine.grass",49.358883,-119.917957,68.340864981982,2107,3.465735903,2.476157455,2.336227158,0.113155026,3.83636363636364,407.493636363636,-0.827518314642316,-0.620131640368431
"Pither",103,"alpine.grass",50.665085,-118.934921,67.2596795945946,1842,3.17805383,2.136459711,2.627068903,0.607351319,2.77363636363636,890.252727272727,-0.984908144418281,1.0251341166946
"Pither",104,"alpine.grass",50.664768,-118.935309,67.2593625945946,1842,3.401197382,2.535773413,3.095401594,0.337532807,2.77363636363636,890.252727272727,-0.984908144418281,1.0251341166946
"Pringle",105,"trop.grass",0.280893,36.894668,15.7853975045045,1721,3.850147602,2.006342729,1.779103319,-0.174645861,20.1163636363636,646.717272727273,1.58354847032601,0.19515379827141
"Pringle",106,"trop.grass",0.28326449,36.89411,15.7877689945045,1721,2.48490665,2.043178011,1.749212354,-0.181791633,20.1163636363636,646.717272727273,1.58354847032601,0.19515379827141
"Pringle",107,"trop.grass",0.47957652,36.8693781,15.0651621055856,1619,3.401197382,1.805598663,1.777397045,-0.036615071,20.1163636363636,646.717272727273,1.58354847032601,0.19515379827141
"Pringle",108,"trop.grass",0.47957652,36.8693781,15.0651621055856,1619,3.688879454,1.805598663,1.777397045,-0.036615071,20.1163636363636,646.717272727273,1.58354847032601,0.19515379827141
"Pringle",109,"trop.grass",0.40171991,36.910351,15.1314496397297,1635,3.401197382,1.947296061,1.932851003,-0.274659845,20.1163636363636,646.717272727273,1.58354847032601,0.19515379827141
"Pringle",110,"trop.grass",0.4039149,36.90897,15.1336446297297,1635,3.688879454,1.900092693,1.870249526,-0.291785525,20.1163636363636,646.717272727273,1.58354847032601,0.19515379827141
"Sternberg",111,"med.grass",32.09055556,35.47138889,32.5139789834234,47,4.672828834,2.033622347,1.430859038,-0.732899579,21.5581818181818,214.77,1.7970816354455,-1.27694288526629
"Sternberg",112,"med.grass",32.08972222,35.47416667,32.5131456434234,47,4.110873864,1.938431532,1.319220397,-0.566482514,21.5581818181818,214.77,1.7970816354455,-1.27694288526629
"Sternberg",113,"med.grass",32.5475,35.53055556,31.1871396396396,-151,4.248495242,2.14284914,1.89687363,-0.200460363,20.71,329.83,1.67146597147546,-0.884812977052255
"Sternberg",114,"med.grass",32.5525,35.53305556,31.0930405405405,-162,3.688879454,2.339173761,2.145255463,-0.375071861,20.71,329.83,1.67146597147546,-0.884812977052255
"Sternberg",115,"med.grass",32.92333333,35.59833333,33.6440540507207,80,3.850147602,2.200556837,2.167712266,-0.378006415,19.1490909090909,287.160909090909,1.44029545160777,-1.03023125188068
"Sternberg",116,"med.grass",32.92388889,35.59305556,33.8247897909009,100,4.043051268,2.382787626,2.261232146,-0.299436363,19.1490909090909,287.160909090909,1.44029545160777,-1.03023125188068
"Sugiyama",117,"temp.grass",40.66958333,140.9488333,46.2101238705405,615,2.995732274,2.932234965,2.741245151,0.440033986,8.98909090909091,1139.06272727273,-0.0643997901169379,1.87309033486541
"Sugiyama",118,"temp.grass",40.66958333,140.9488333,46.2101238705405,615,2.944438979,2.932234965,2.741245151,0.440033986,8.98909090909091,1139.06272727273,-0.0643997901169379,1.87309033486541
"Sugiyama",121,"temp.wet.grass",40.94944444,140.3794444,40.967462458018,2,3.091042453,3.012955951,2.971900176,0.586096029,10.4718181818182,1365.82090909091,0.155192008313001,2.64589291632851
